participant_id,file_name,category,metric
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,DKNY-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Lacoste-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Hermes-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,CalvinKlein-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Versace-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Givenchy-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Celine-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Adidas_001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Fossil-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Gucci-001_Image,Fashion,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Intel-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Nokia-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,OnePlus-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Sonos-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Asus-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,BeatsByDre-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Samsung-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,Marshall-001_Image,Electronics,0
bf6f99b4-b0b1-dfe4-b6ba-ad441d4bb12e,HP-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Amazon-001_Image,Electronics,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Cheerios-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Heineken-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Heinz-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Jif-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Kinder-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,KitKat-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Lipton-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Oreo-001_Image,Food & Beverage,96.66666667
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Pepsi-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Snickers-001_Image,Food & Beverage,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,DKNY-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Lacoste-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Hermes-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,CalvinKlein-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Versace-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Givenchy-001_Image,Fashion,0
c1e2d5bd-e0ae-ea1b-25b3-e1c96b920550,Celine-001_Image,Fashion,0
